"GEOID","NAME","Total","H_Total","majority","hispanic","group"
"06037199201","Census Tract 1992.01, Los Angeles County, California",3660,2501,"H_Other",1,"3001-4500"
"06037199202","Census Tract 1992.02, Los Angeles County, California",3155,2364,"H_Other",1,"3001-4500"
"06037199300","Census Tract 1993, Los Angeles County, California",4202,2486,"H_Other",1,"3001-4500"
"06037199400","Census Tract 1994, Los Angeles County, California",4759,3352,"H_Other",1,"4501-6000"
"06037199700","Census Tract 1997, Los Angeles County, California",3063,2002,"H_Other",1,"3001-4500"
"06037199900","Census Tract 1999, Los Angeles County, California",2692,2218,"H_Other",1,"1500-3000"
"06037201120","Census Tract 2011.20, Los Angeles County, California",4144,3327,"H_Other",1,"3001-4500"
"06037201200","Census Tract 2012, Los Angeles County, California",2893,2356,"H_Other",1,"1500-3000"
"06037201301","Census Tract 2013.01, Los Angeles County, California",4498,3458,"H_Other",1,"3001-4500"
"06037201401","Census Tract 2014.01, Los Angeles County, California",4693,3550,"H_Other",1,"4501-6000"
"06037201402","Census Tract 2014.02, Los Angeles County, California",4995,3715,"H_Other",1,"4501-6000"
"06037201501","Census Tract 2015.01, Los Angeles County, California",5367,4442,"H_Other",1,"4501-6000"
"06037201503","Census Tract 2015.03, Los Angeles County, California",3364,2909,"H_Other",1,"3001-4500"
"06037201504","Census Tract 2015.04, Los Angeles County, California",2302,1828,"H_Other",1,"1500-3000"
"06037201601","Census Tract 2016.01, Los Angeles County, California",2323,1853,"H_Other",1,"1500-3000"
"06037201602","Census Tract 2016.02, Los Angeles County, California",2960,2475,"H_Other",1,"1500-3000"
"06037204110","Census Tract 2041.10, Los Angeles County, California",3286,3167,"H_Other",1,"3001-4500"
"06037204410","Census Tract 2044.10, Los Angeles County, California",2575,2484,"H_Other",1,"1500-3000"
"06037204820","Census Tract 2048.20, Los Angeles County, California",2241,2127,"H_Other",1,"1500-3000"
"06037208000","Census Tract 2080, Los Angeles County, California",7508,4767,"H_Other",1,"7501-9000"
"06037208301","Census Tract 2083.01, Los Angeles County, California",2148,1989,"H_Other",1,"1500-3000"
"06037208401","Census Tract 2084.01, Los Angeles County, California",4765,3377,"H_Other",1,"4501-6000"
"06037208402","Census Tract 2084.02, Los Angeles County, California",2896,2033,"H_Other",1,"1500-3000"
"06037208502","Census Tract 2085.02, Los Angeles County, California",4364,3579,"H_Other",1,"3001-4500"
"06037208610","Census Tract 2086.10, Los Angeles County, California",4351,2268,"H_Other",1,"3001-4500"
"06037208620","Census Tract 2086.20, Los Angeles County, California",4446,2239,"H_Other",1,"3001-4500"
"06037208801","Census Tract 2088.01, Los Angeles County, California",3027,1614,"H_Other",1,"3001-4500"
"06037208802","Census Tract 2088.02, Los Angeles County, California",3069,1772,"H_Other",1,"3001-4500"
"06037208902","Census Tract 2089.02, Los Angeles County, California",2692,2439,"H_Other",1,"1500-3000"
"06037208904","Census Tract 2089.04, Los Angeles County, California",3978,3524,"H_Other",1,"3001-4500"
"06037209102","Census Tract 2091.02, Los Angeles County, California",5950,4250,"H_Other",1,"4501-6000"
"06037209103","Census Tract 2091.03, Los Angeles County, California",3679,3378,"H_Other",1,"3001-4500"
"06037209104","Census Tract 2091.04, Los Angeles County, California",2560,2079,"H_Other",1,"1500-3000"
"06037209300","Census Tract 2093, Los Angeles County, California",4885,3608,"H_Other",1,"4501-6000"
"06037209402","Census Tract 2094.02, Los Angeles County, California",3963,3529,"H_Other",1,"3001-4500"
"06037209403","Census Tract 2094.03, Los Angeles County, California",4148,2938,"H_Other",1,"3001-4500"
"06037209810","Census Tract 2098.10, Los Angeles County, California",2594,1843,"H_Other",1,"1500-3000"
"06037209820","Census Tract 2098.20, Los Angeles County, California",3073,2804,"H_Other",1,"3001-4500"
"06037210010","Census Tract 2100.10, Los Angeles County, California",3561,3050,"H_Other",1,"3001-4500"
"06037211201","Census Tract 2112.01, Los Angeles County, California",2562,1743,"H_Other",1,"1500-3000"
"06037211202","Census Tract 2112.02, Los Angeles County, California",2239,1555,"H_Other",1,"1500-3000"
"06037211310","Census Tract 2113.10, Los Angeles County, California",3873,2872,"H_Other",1,"3001-4500"
"06037211320","Census Tract 2113.20, Los Angeles County, California",3337,2043,"H_Other",1,"3001-4500"
"06037211420","Census Tract 2114.20, Los Angeles County, California",3573,1823,"H_Other",1,"3001-4500"
"06037212202","Census Tract 2122.02, Los Angeles County, California",3424,2392,"H_Other",1,"3001-4500"
"06037212203","Census Tract 2122.03, Los Angeles County, California",2914,1767,"H_Other",1,"1500-3000"
"06037212204","Census Tract 2122.04, Los Angeles County, California",3584,2441,"H_Other",1,"3001-4500"
"06037212303","Census Tract 2123.03, Los Angeles County, California",3837,2436,"H_Other",1,"3001-4500"
"06037212304","Census Tract 2123.04, Los Angeles County, California",1832,1144,"H_Other",1,"1500-3000"
"06037212305","Census Tract 2123.05, Los Angeles County, California",3025,2120,"H_Other",1,"3001-4500"
"06037212420","Census Tract 2124.20, Los Angeles County, California",3517,1905,"H_Other",1,"3001-4500"
"06037212501","Census Tract 2125.01, Los Angeles County, California",1940,1046,"H_Other",1,"1500-3000"
"06037213202","Census Tract 2132.02, Los Angeles County, California",3942,2694,"H_Other",1,"3001-4500"
"06037213310","Census Tract 2133.10, Los Angeles County, California",3015,1940,"H_Other",1,"3001-4500"
"06037213320","Census Tract 2133.20, Los Angeles County, California",2469,1594,"H_Other",1,"1500-3000"
"06037213401","Census Tract 2134.01, Los Angeles County, California",4859,3434,"H_Other",1,"4501-6000"
"06037213402","Census Tract 2134.02, Los Angeles County, California",4857,3315,"H_Other",1,"4501-6000"
"06037217200","Census Tract 2172, Los Angeles County, California",4156,1798,"H_Other",1,"3001-4500"
